OBJECTID,mop_id,nazev,lokalita,prepadeni_old,prepadeni_new,drogy_old,drogy_new,kradzeze_old,kradeze_new
4,1114,Krakovská,dojezdní,5.049156956,3.091864037,5.479871463,3.124591499,3.643237712,3.654668544
27,1312,Karlín,dojezdní,2.415998138,2.324031135,-0.259583845,-0.46466258,0.109616373,0.096449233
1,1110,Bartolomějská,dojezdní,2.346810398,1.940312638,0.958922404,0.593758345,3.159535175,4.751132329
14,1151,nádraží Holešovice,dojezdní,1.557780668,-1.15672252,0.121922746,-0.719058701,3.256391853,-0.402990102
2,1111,Benediktská,dojezdní,0.390765402,-0.747992108,-0.307698542,-0.653712792,1.165601163,0.387700697
12,1122,Výstaviště,dojezdní,0.379560952,-0.978348169,0.512668401,-0.413912449,0.137294931,-0.718277438
10,1120,Holešovice,dojezdní,0.360782243,0.856842517,2.429843121,4.083513985,-0.416955598,-0.533065631
15,1210,Nové Město,dojezdní,0.285122808,-0.38471323,0.29382565,-0.072801707,0.26257143,0.098983023
48,1420,Strašnice,výjezdní,0.153280237,0.838346353,-0.503983616,-0.600756753,-0.278162961,0.065755836
35,1320,Vysočany,dojezdní,0.12181574,0.931589755,0.066668187,0.59299811,-0.263834953,0.210642809
18,1213,Smíchov,dojezdní,0.118010943,0.154444652,-0.210920973,-0.242084384,0.12177545,0.714388609
25,1310,Jarov,dojezdní,0.099710274,0.435746483,-0.38477895,-0.425940453,-0.425694919,-0.52825777
49,1421,Zahradní město,výjezdní,0.040921896,1.673923678,-0.464989455,-0.378461162,-0.382242133,0.198914081
29,1314,Libeň,dojezdní,0.027317716,0.218758358,1.479661759,2.570862944,-0.317913841,-0.249874936
47,1419,Vršovice,výjezdní,-0.037767817,0.452832538,-0.326868412,-0.24345944,-0.138962623,0.587350639
33,1318,Kyje,dojezdní,-0.052740821,0.552427683,0.119139749,0.743056973,-0.423253711,-0.34294317
43,1414,Nusle,výjezdní,-0.066160134,0.720872067,0.106924014,0.870368233,-0.07344623,1.174757499
46,1418,Hostivař,dojezdní,-0.070875966,0.278929341,-0.534738096,-0.663111112,-0.463892611,-0.574160072
19,1214,Barrandov,výjezdní,-0.109777385,1.746981771,-0.540292815,-0.552928081,-0.470701601,-0.039459907
11,1121,Letná,dojezdní,-0.109786391,0.741121099,0.123621702,1.026497254,-0.493894847,-0.500944409
6,1116,Dejvice,dojezdní,-0.14248631,0.148422465,-0.262170473,-0.137260647,-0.455813301,-0.534656956
40,1411,Lhotka,dojezdní,-0.169523597,0.589249286,-0.402204737,-0.279186769,-0.366807065,0.071548849
28,1313,Kobylisy,výjezdní,-0.176947231,0.189705093,-0.479099294,-0.534165175,-0.441345851,-0.430815742
3,1112,Malá Strana,dojezdní,-0.225620207,-1.008074496,-0.419226507,-0.681609016,0.802495509,0.441422803
26,1311,Žižkov,dojezdní,-0.248909835,-0.272595408,0.19278038,0.542872825,-0.414060203,-0.495280333
17,1212,Košíře,dojezdní,-0.257473997,-0.290713867,-0.428892115,-0.500880551,-0.414772289,-0.497842213
41,1412,Podolí,dojezdní,-0.271008614,-0.380201785,-0.56152534,-0.727642383,-0.087123129,0.376721562
16,1211,Vinohrady,výjezdní,-0.308276366,0.018098883,0.337655793,1.378691518,-0.190474673,0.669489298
44,1415,Jižní město,výjezdní,-0.322658205,0.364436774,-0.471678726,-0.402739071,-0.427137445,-0.04558253
36,1321,Horní Počernice,výjezdní,-0.347369851,-0.275583461,-0.425459236,-0.435637674,-0.406190598,-0.332652309
39,1410,Modřany,výjezdní,-0.411364971,-0.115543696,-0.37498746,-0.196143027,-0.367844248,0.097208187
42,1413,Spořilov,dojezdní,-0.4177458,-0.525335685,-0.510574023,-0.62104846,-0.293256541,-0.03356515
7,1117,Vokovice,výjezdní,-0.435456768,-0.517125575,-0.428545434,-0.452363661,-0.533408185,-0.790553053
21,1216,Stodůlky,výjezdní,-0.443101853,-0.20215184,-0.329588047,-0.071499921,-0.423091754,-0.143262901
34,1319,Prosek,dojezdní,-0.444265826,-0.523313596,-0.376939393,-0.345330508,-0.474230929,-0.580101361
5,1115,Břevnov,dojezdní,-0.467842157,-0.672546112,0.092260367,0.438652733,-0.479217189,-0.658709473
20,1215,Radotín,dojezdní,-0.475798907,-0.748780054,-0.426390217,-0.503519569,-0.487139328,-0.72130449
30,1315,Bohnice,výjezdní,-0.489776803,-0.241040497,-0.361454555,-0.093544128,-0.568881301,-0.774293828
32,1317,Čakovice,dojezdní,-0.514125318,-0.068890687,-0.465588274,-0.301304192,-0.506448138,-0.299615956
8,1118,Řepy,výjezdní,-0.539392781,-0.270567878,-0.552551055,-0.619172492,-0.498381151,-0.319044353
37,1322,Letňany,výjezdní,-0.560301665,-0.639753228,-0.609722713,-0.804223633,-0.349319533,0.09134652
50,1422,Uhřiněves,dojezdní,-0.577524537,-0.511009906,-0.421362788,-0.246577482,-0.475821141,-0.277270774
31,1316,Ďáblice,výjezdní,-0.653232103,-0.618363977,-0.548979644,-0.583427179,-0.486319228,-0.133896265
22,1217,Zlíčín,dojezdní,-0.653452439,-1.240513588,-0.488370291,-0.676113624,-0.275958013,-0.50150879
45,1417,Pankrác,dojezdní,-0.786022402,-1.394759069,-0.016683718,-0.073565066,-0.215698177,-0.254797885
9,1119,Ruzyně odd. PČR letiště,dojezdní,-0.853415771,-1.494765391,0.091934073,-0.154055821,-0.536719358,-1.010027851
24,1251,nádraží  Smíchov,dojezdní,-0.853415771,-1.494765391,1.096579017,-0.617506193,2.161231155,-0.66059921
38,1323,Újezd nad Lesy,dojezdní,-0.853415771,-1.494765391,-0.60843008,-0.476458563,-0.495335954,-0.303125662
